CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_avg_sentence_length,mda_percentage_of_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainity_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion
5588,AMERICAN PAD & PAPER CO,199611,1996-11-06,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000930661-96-001510.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199703,1997-03-31,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-002428.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199705,1997-05-15,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-003934.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199708,1997-08-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-006223.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199711,1997-11-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-008577.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199803,1998-03-27,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-002477.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199805,1998-05-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-004241.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199808,1998-08-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-006988.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199811,1998-11-13,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000008.txt,,,,,,,,,,,,,,
5588,AMERICAN PAD & PAPER CO,199811,1998-11-16,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000010.txt,,,,,,,,,,,,,,
5907,AT&T CORP,199908,1999-08-13,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-99-000027.txt,,,,,,,,,,,,,,
5907,AT&T CORP,199911,1999-11-15,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-99-000037.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200003,2000-03-27,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000014.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200005,2000-05-15,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000025.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200008,2000-08-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000031.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200011,2000-11-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000038.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200101,2001-01-26,10-K/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000002.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200104,2001-04-02,10-K405,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000012.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200104,2001-04-17,10-K405/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000015.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200105,2001-05-15,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-502538.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200107,2001-07-03,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-504075.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200108,2001-08-10,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-505366.txt,,,,,,,,,,,,,,
5907,AT&T CORP,200108,2001-08-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-505598.txt,,,,,,,,,,,,,,
6071,AMES DEPARTMENT STORES INC,199809,1998-09-02,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6071/0000006071-98-000023.txt,,,,,,,,,,,,,,
6071,AMES DEPARTMENT STORES INC,199812,1998-12-10,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6071/0000006071-98-000026.txt,,,,,,,,,,,,,,
6071,AMES DEPARTMENT STORES INC,199904,1999-04-05,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6071/0000889812-99-001116.txt,,,,,,,,,,,,,,
6071,AMES DEPARTMENT STORES INC,199906,1999-06-15,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000013.txt,,,,,,,,,,,,,,
6071,AMES DEPARTMENT STORES INC,199909,1999-09-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000015.txt,,,,,,,,,,,,,,
6071,AMES DEPARTMENT STORES INC,199912,1999-12-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000017.txt,,,,,,,,,,,,,,
6071,AMES DEPARTMENT STORES INC,200004,2000-04-11,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6071/0000006071-00-000002.txt,,,,,,,,,,,,,,
6071,AMES DEPARTMENT STORES INC,200006,2000-06-13,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6071/0000006071-00-000011.txt,,,,,,,,,,,,,,
6201,AMR CORP,199908,1999-08-16,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-99-000023.txt,,,,,,,,,,,,,,
6201,AMR CORP,199911,1999-11-05,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-99-000028.txt,,,,,,,,,,,,,,
6201,AMR CORP,200003,2000-03-27,10-K405,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950134-00-002454.txt,,,,,,,,,,,,,,
6201,AMR CORP,200005,2000-05-11,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-00-000009.txt,,,,,,,,,,,,,,
6201,AMR CORP,200007,2000-07-28,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950134-00-006067.txt,,,,,,,,,,,,,,
6201,AMR CORP,200010,2000-10-26,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-00-000017.txt,,,,,,,,,,,,,,
6201,AMR CORP,200103,2001-03-22,10-K405,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950134-01-002483.txt,,,,,,,,,,,,,,
6201,AMR CORP,200104,2001-04-24,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950134-01-500665.txt,,,,,,,,,,,,,,
6201,AMR CORP,200108,2001-08-13,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-01-500032.txt,,,,,,,,,,,,,,
6201,AMR CORP,200110,2001-10-25,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-01-500047.txt,,,,,,,,,,,,,,
6201,AMR CORP,200202,2002-02-28,10-K405,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-001661.txt,,,,,,,,,,,,,,
6201,AMR CORP,200204,2002-04-18,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000015.txt,,,,,,,,,,,,,,
6201,AMR CORP,200207,2002-07-19,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000035.txt,,,,,,,,,,,,,,
6201,AMR CORP,200210,2002-10-18,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000052.txt,,,,,,,,,,,,,,
6201,AMR CORP,200210,2002-10-18,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-012680.txt,,,,,,,,,,,,,,
